"No","Priority","English","Local",,,
"24","3"," Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB82
 Alarm SA ref: 9.4.5"," Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB82
 Alarm SA ref: 9.4.5",,,
"25","3","nu","nu",,,
"25","3",,,,,
"25","3",,,,,
"26","3"," OB85 Program sequence error"," OB85 Program sequence error",,,
"26","3",,,,,
"26","3"," Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB85
 Alarm SA ref: 9.4.7 "," Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB85
 Alarm SA ref: 9.4.7 ",,,
"27","3","  OB86 Rack failure ","  OB86 Rack failure ",,,
"27","3",,,,,
"27","3","Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB86
 Alarm SA ref: 9.4.8 ","Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB86
 Alarm SA ref: 9.4.8 ",,,
"28","3"," OB87 Communication error "," OB87 Communication error ",,,
"28","3",,,,,
"28","3"," Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB87
 Alarm SA ref: 9.4.9"," Action:
 Device:
 Location:
 Dwg page:
 SW I/O:
 SW ref: OB87
 Alarm SA ref: 9.4.9",,,
"29","3","nu","nu",,,
"29","3",,,,,
"29","3",,,,,
"30","3"," S7 System Error - "," S7 System Error - ",,,
"30","3","Profibus  Slave Station 20 Fault","Profibus  Slave Station 20 Fault",,,
"30","3","Action: Crane stopped
Device: Z2-A1
Location: Trolley, Dwg p: 511


SW I/O: Z_RIO_STATUS.ADDRESS 20
Alarm SA ref: 9.1, SW:FC902 ","Action: Crane stopped
Device: Z2-A1
Location: Trolley, Dwg p: 511


SW I/O: Z_RIO_STATUS.ADDRESS 20
Alarm SA ref: 9.1, SW:FC902 ",,,
"31","3","S7 System Error - ","S7 System Error - ",,,
"31","3","Profibus  Slave Station 21 Fault","Profibus  Slave Station 21 Fault",,,
"31","3"," Action: No Hoist
 Device: Profibus  encoder ZA1-D3
 Location: Trolley, Dwg p:500


 SW I/O: Z_RIO_STATUS.ADDRESS 21
 Alarm SA ref: 9.1, SW:FC902 "," Action: No Hoist
 Device: Profibus  encoder ZA1-D3
 Location: Trolley, Dwg p:500


 SW I/O: Z_RIO_STATUS.ADDRESS 21
 Alarm SA ref: 9.1, SW:FC902 ",,,
"32","3","S7 System Error - ","S7 System Error - ",,,
"32","3","Profibus  Slave Station 22 Fault ","Profibus  Slave Station 22 Fault ",,,
"32","3"," Action: No Hoist 
 Device: Profibus  encoder ZA2-D3
 Location: Trolley, Dwg p: 500


SW I/O: Z_RIO_STATUS.ADDRESS 22
Alarm SA ref: 9.1, SW:FC902 "," Action: No Hoist 
 Device: Profibus  encoder ZA2-D3
 Location: Trolley, Dwg p: 500


SW I/O: Z_RIO_STATUS.ADDRESS 22
Alarm SA ref: 9.1, SW:FC902 ",,,
"33","3"," S7 System Error - "," S7 System Error - ",,,
"33","3","Profibus  Slave Station 31 Fault","Profibus  Slave Station 31 Fault",,,
"33","3","Action: No Gantry
 Device: Profibus  encoder ZR1-B1
 Location: Bogie A, Dwg p: 509

 
 SW I/O: Z_RIO_STATUS.ADDRESS 31
 Alarm SA ref: 9.1, SW:FC902","Action: No Gantry
 Device: Profibus  encoder ZR1-B1
 Location: Bogie A, Dwg p: 509

 
 SW I/O: Z_RIO_STATUS.ADDRESS 31
 Alarm SA ref: 9.1, SW:FC902",,,
"34","3","S7 System Error - ","S7 System Error - ",,,
"34","3","Profibus  Slave Station 32 Fault  ","Profibus  Slave Station 32 Fault  ",,,
"34","3","  Action: No Gantry
 Device: Profibus  encoder ZR2-B1
 Location: Bogie A, Dwg p: 509

 
 SW I/O: Z_RIO_STATUS.ADDRESS 32
 Alarm SA ref: 9.1, SW:FC902","  Action: No Gantry
 Device: Profibus  encoder ZR2-B1
 Location: Bogie A, Dwg p: 509

 
 SW I/O: Z_RIO_STATUS.ADDRESS 32
 Alarm SA ref: 9.1, SW:FC902",,,
"35","3","S7 System Error - ","S7 System Error - ",,,
"35","3","Profibus  Slave Station 33 Fault ","Profibus  Slave Station 33 Fault ",,,
"35","3"," Action: No Gantry
 Device:Profibus  encoder ZR3-B1
 Location: Bogie B, Dwg p: 506
 
 
 SW I/O: Z_RIO_STATUS.ADDRESS 33
 Alarm SA ref: 9.1, SW:FC902"," Action: No Gantry
 Device:Profibus  encoder ZR3-B1
 Location: Bogie B, Dwg p: 506
 
 
 SW I/O: Z_RIO_STATUS.ADDRESS 33
 Alarm SA ref: 9.1, SW:FC902",,,
"36","3","S7 System Error - ","S7 System Error - ",,,
"36","3","Profibus  Slave Station 34 Fault ","Profibus  Slave Station 34 Fault ",,,
"36","3"," Action: No Gantry
 Device: Profibus  encoder  ZR4-B1
 Location: Bogie B, Dwg p: 506


 SW I/O: Z_RIO_STATUS.ADDRESS 34
 Alarm SA ref: 9.1, SW:FC902"," Action: No Gantry
 Device: Profibus  encoder  ZR4-B1
 Location: Bogie B, Dwg p: 506


 SW I/O: Z_RIO_STATUS.ADDRESS 34
 Alarm SA ref: 9.1, SW:FC902",,,
"37","3","S7 System Error - ","S7 System Error - ",,,
"37","3","Profibus  Slave Station 35 Fault","Profibus  Slave Station 35 Fault",,,
"37","3"," Action: No Gantry
 Device: Profibus  encoder ZR5-B1
 Location: Bogie C, Dwg p: 507
 

 SW I/O: Z_RIO_STATUS.ADDRESS 35
 Alarm SA ref: 9.1, SW:FC902"," Action: No Gantry
 Device: Profibus  encoder ZR5-B1
 Location: Bogie C, Dwg p: 507
 

 SW I/O: Z_RIO_STATUS.ADDRESS 35
 Alarm SA ref: 9.1, SW:FC902",,,
"38","3","S7 System Error - ","S7 System Error - ",,,
"38","3","Profibus  Slave Station 36 Fault","Profibus  Slave Station 36 Fault",,,
"38","3"," Action: No Gantry
 Device: Profibus  encoder ZR6-B1
 Location: Bogie C, Dwg p: 507


 SW I/O: Z_RIO_STATUS.ADDRESS 36
 Alarm SA ref: 9.1, SW:FC902"," Action: No Gantry
 Device: Profibus  encoder ZR6-B1
 Location: Bogie C, Dwg p: 507


 SW I/O: Z_RIO_STATUS.ADDRESS 36
 Alarm SA ref: 9.1, SW:FC902",,,
"39","3","S7 System Error - ","S7 System Error - ",,,
"39","3","Profibus  Slave Station 37 Fault","Profibus  Slave Station 37 Fault",,,
"39","3"," Action: No Gantry
 Device: Profibus  encoder ZR7-B1
 Location: Bogie D, Dwg p: 510
 

 SW I/O: Z_RIO_STATUS.ADDRESS 37
 Alarm SA ref: 9.1, SW:FC902"," Action: No Gantry
 Device: Profibus  encoder ZR7-B1
 Location: Bogie D, Dwg p: 510
 

 SW I/O: Z_RIO_STATUS.ADDRESS 37
 Alarm SA ref: 9.1, SW:FC902",,,
"40","3","S7 System Error - ","S7 System Error - ",,,
"40","3","Profibus  Slave Station 38 Fault","Profibus  Slave Station 38 Fault",,,
"40","3"," Action: No Gantry
 Device: Profibus  encoder ZR8-B1
 Location: Bogie D, Dwg p: 510


 SW I/O: Z_RIO_STATUS.ADDRESS 38
 Alarm SA ref: 9.1, SW:FC902"," Action: No Gantry
 Device: Profibus  encoder ZR8-B1
 Location: Bogie D, Dwg p: 510


 SW I/O: Z_RIO_STATUS.ADDRESS 38
 Alarm SA ref: 9.1, SW:FC902",,,
"41","3","S7 System Error - ","S7 System Error - ",,,
"41","3","Profibus  Slave Station 60 Fault","Profibus  Slave Station 60 Fault",,,
"41","3"," Action: Crane stopped
 Device: Z6-A1
 Location: +E6, Dwg p: 508


 SW I/O: Z_RIO_STATUS.ADDRESS 60
 Alarm SA ref: 9.1, SW:FC902"," Action: Crane stopped
 Device: Z6-A1
 Location: +E6, Dwg p: 508


 SW I/O: Z_RIO_STATUS.ADDRESS 60
 Alarm SA ref: 9.1, SW:FC902",,,
"42","3","S7 System Error - ","S7 System Error - ",,,
"42","3","Profibus  Slave Station 61 Fault","Profibus  Slave Station 61 Fault",,,
"42","3"," Action: Crane stopped
 Device: Z1-D101
 Location: Bogie A, Dwg p: 509


 SW I/O: Z_RIO_STATUS.ADDRESS 61
 Alarm SA ref: 9.1, SW:FC902"," Action: Crane stopped
 Device: Z1-D101
 Location: Bogie A, Dwg p: 509


 SW I/O: Z_RIO_STATUS.ADDRESS 61
 Alarm SA ref: 9.1, SW:FC902",,,
"43","3","S7 System Error - ","S7 System Error - ",,,
"43","3","Profibus  Slave Station 62 Fault","Profibus  Slave Station 62 Fault",,,
"43","3"," Action: Crane stopped
 Device: Z1-D102
 Location: Bogie B, Dwg p: 506


 SW I/O: Z_RIO_STATUS.ADDRESS 62
 Alarm SA ref: 9.1, SW:FC902"," Action: Crane stopped
 Device: Z1-D102
 Location: Bogie B, Dwg p: 506


 SW I/O: Z_RIO_STATUS.ADDRESS 62
 Alarm SA ref: 9.1, SW:FC902",,,
"44","3","S7 System Error - ","S7 System Error - ",,,
"44","3","Profibus  Slave Station 63 Fault","Profibus  Slave Station 63 Fault",,,
"44","3"," Action: Crane stopped
 Device: Z1-D103
 Location: Bogie C, Dwg p: 507


 SW I/O: Z_RIO_STATUS.ADDRESS 63
 Alarm SA ref: 9.1, SW:FC902"," Action: Crane stopped
 Device: Z1-D103
 Location: Bogie C, Dwg p: 507


 SW I/O: Z_RIO_STATUS.ADDRESS 63
 Alarm SA ref: 9.1, SW:FC902",,,
"45","3","S7 System Error - ","S7 System Error - ",,,
"45","3","Profibus  Slave Station 64 Fault","Profibus  Slave Station 64 Fault",,,
"45","3"," Action: Crane stopped
 Device: Z1-D104
 Location: Bogie D, Dwg p: 510


 SW I/O: Z_RIO_STATUS.ADDRESS 64
 Alarm SA ref: 9.1, SW:FC902"," Action: Crane stopped
 Device: Z1-D104
 Location: Bogie D, Dwg p: 510


 SW I/O: Z_RIO_STATUS.ADDRESS 64
 Alarm SA ref: 9.1, SW:FC902",,,
"46","3","S7 System Error - Gantry1 D2V","S7 System Error - Gantry1 D2V",,,
"46","3","Profibus  Slave Station 11 Fault ","Profibus  Slave Station 11 Fault ",,,
"46","3"," Action: No Gantry
 Device: Inverter R-A12
 Location: E-room, Dwg p: 504


 SW I/O: Z_RIO_STATUS.ADDRESS 11
 Alarm SA ref: 9.1, SW:FC902 "," Action: No Gantry
 Device: Inverter R-A12
 Location: E-room, Dwg p: 504


 SW I/O: Z_RIO_STATUS.ADDRESS 11
 Alarm SA ref: 9.1, SW:FC902 ",,,
"47","3","S7 System Error - Gantry2 D2V ","S7 System Error - Gantry2 D2V ",,,
"47","3","Profibus  Slave Station 12 Fault ","Profibus  Slave Station 12 Fault ",,,
"47","3"," Action: No Gantry
 Device: Inverter R-A34
 Location: E-room, Dwg p: 504


SW I/O: Z_RIO_STATUS.ADDRESS 12
 Alarm SA ref: 9.1, SW:FC902 "," Action: No Gantry
 Device: Inverter R-A34
 Location: E-room, Dwg p: 504


SW I/O: Z_RIO_STATUS.ADDRESS 12
 Alarm SA ref: 9.1, SW:FC902 ",,,
"48","3","S7 System Error  - Gantry3 D2V ","S7 System Error  - Gantry3 D2V ",,,
"48","3","Profibus  Slave Station 13 Fault ","Profibus  Slave Station 13 Fault ",,,
"48","3"," Action: No Gantry
 Device: Inverter R-A56
 Location: E-room, Dwg p: 504


 SW I/O: Z_RIO_STATUS.ADDRESS 13
 Alarm SA ref: 9.1, SW:FC902 "," Action: No Gantry
 Device: Inverter R-A56
 Location: E-room, Dwg p: 504


 SW I/O: Z_RIO_STATUS.ADDRESS 13
 Alarm SA ref: 9.1, SW:FC902 ",,,
"49","3","S7 System Error - Gantry4 D2V ","S7 System Error - Gantry4 D2V ",,,
"49","3","Profibus  Slave Station 14 Fault ","Profibus  Slave Station 14 Fault ",,,
"49","3"," Action: No Gantry
 Device: Inverter R-A78
 Location: E-room, Dwg p: 504
 SW I/O: Z_RIO_STATUS.ADDRESS 14
 Alarm SA ref: 9.1, SW:FC902 "," Action: No Gantry
 Device: Inverter R-A78
 Location: E-room, Dwg p: 504
 SW I/O: Z_RIO_STATUS.ADDRESS 14
 Alarm SA ref: 9.1, SW:FC902 ",,,
"50","3","S7 System Error - ACM1 D2V ","S7 System Error - ACM1 D2V ",,,
"50","3","Profibus  Slave Station 51 Fault","Profibus  Slave Station 51 Fault",,,
"50","3"," Action: Crane stopped
 Device: Inverter B1-A1
 Location: E-room, Dwg p: 503


SW I/O: Z_RIO_STATUS.ADDRESS 51
 Alarm SA ref: 9.1, SW:FC902 "," Action: Crane stopped
 Device: Inverter B1-A1
 Location: E-room, Dwg p: 503


SW I/O: Z_RIO_STATUS.ADDRESS 51
 Alarm SA ref: 9.1, SW:FC902 ",,,
"51","3","S7 System Error - ACM2 D2V ","S7 System Error - ACM2 D2V ",,,
"51","3","Profibus  Slave Station 52 Fault","Profibus  Slave Station 52 Fault",,,
"51","3"," Action: Crane stopped
 Device: Inverter B2-A1
 Location: E-room, Dwg p: 504
 

 SW I/O: Z_RIO_STATUS.ADDRESS 52
 Alarm SA ref: 9.1, SW:FC902 "," Action: Crane stopped
 Device: Inverter B2-A1
 Location: E-room, Dwg p: 504
 

 SW I/O: Z_RIO_STATUS.ADDRESS 52
 Alarm SA ref: 9.1, SW:FC902 ",,,
"52","3","S7 System Error - ACM3 D2V ","S7 System Error - ACM3 D2V ",,,
"52","3","Profibus  Slave Station 53 Fault","Profibus  Slave Station 53 Fault",,,
"52","3"," Action: Crane stopped
 Device: Inverter B3-A1
 Location: E-room, Dwg p: 503


 SW I/O: Z_RIO_STATUS.ADDRESS 53
 Alarm SA ref: 9.1, SW:FC902 "," Action: Crane stopped
 Device: Inverter B3-A1
 Location: E-room, Dwg p: 503


 SW I/O: Z_RIO_STATUS.ADDRESS 53
 Alarm SA ref: 9.1, SW:FC902 ",,,
"53","3","S7 System Error - ACM4 D2V ","S7 System Error - ACM4 D2V ",,,
"53","3","Profibus  Slave Station 54 Fault","Profibus  Slave Station 54 Fault",,,
"53","3"," Action: Crane stopped
 Device: Inverter B4-A1
 Location: E-room, Dwg p: 504 


 SW I/O: Z_RIO_STATUS.ADDRESS 54
 Alarm SA ref: 9.1, SW:FC902 "," Action: Crane stopped
 Device: Inverter B4-A1
 Location: E-room, Dwg p: 504 


 SW I/O: Z_RIO_STATUS.ADDRESS 54
 Alarm SA ref: 9.1, SW:FC902 ",,,
"54","3","S7 System Error  - HOIST1 D2V ","S7 System Error  - HOIST1 D2V ",,,
"54","3","Profibus  Slave Station 55 Fault","Profibus  Slave Station 55 Fault",,,
"54","3"," Action: No Hoist
 Device: Inverter A1-A1
 Location: E-room, Dwg p: 503


 SW I/O: Z_RIO_STATUS.ADDRESS 55
 Alarm SA ref: 9.1, SW:FC902 "," Action: No Hoist
 Device: Inverter A1-A1
 Location: E-room, Dwg p: 503


 SW I/O: Z_RIO_STATUS.ADDRESS 55
 Alarm SA ref: 9.1, SW:FC902 ",,,
"55","3","S7 System Error  - HOIST2 D2V ","S7 System Error  - HOIST2 D2V ",,,
"55","3","Profibus  Slave Station 56 Fault","Profibus  Slave Station 56 Fault",,,
"55","3"," Action: No Hoist
 Device: Inverter A2-A1
 Location: E-room, Dwg p: 503

 
 SW I/O: Z_RIO_STATUS.ADDRESS 56
 Alarm SA ref: 9.1, SW:FC902 "," Action: No Hoist
 Device: Inverter A2-A1
 Location: E-room, Dwg p: 503

 
 SW I/O: Z_RIO_STATUS.ADDRESS 56
 Alarm SA ref: 9.1, SW:FC902 ",,,
"56","3","S7 System Error - TROLLEY D2V ","S7 System Error - TROLLEY D2V ",,,
"56","3","Profibus  Slave Station 57 Fault","Profibus  Slave Station 57 Fault",,,
"56","3"," Action: No Trolley
 Device: Inverter E-A1
 Location: E-room, Dwg p: 504 


 SW I/O: Z_RIO_STATUS.ADDRESS 57
 Alarm SA ref: 9.1, SW:FC902 "," Action: No Trolley
 Device: Inverter E-A1
 Location: E-room, Dwg p: 504 


 SW I/O: Z_RIO_STATUS.ADDRESS 57
 Alarm SA ref: 9.1, SW:FC902 ",,,
"57","3"," Electrical room fibre-optic "," Electrical room fibre-optic ",,,
"57","3","interface unit fault ","interface unit fault ",,,
"57","3"," Action: Profibus  fault - Crane off
 Device: Z1-X01
 Location:E-room, Dwg p.505


 SW I/O: I13.6, Dwg p.311, SW:FC900
 Alarm SA ref: 9.1, SW:FC902 "," Action: Profibus  fault - Crane off
 Device: Z1-X01
 Location:E-room, Dwg p.505


 SW I/O: I13.6, Dwg p.311, SW:FC900
 Alarm SA ref: 9.1, SW:FC902 ",,,
"58","3"," Bogie A fibre-optic"," Bogie A fibre-optic",,,
"58","3"," interface unit fault "," interface unit fault ",,,
"58","3"," Action: Profibus  fault - Crane off
 Device: Z6-X101
 Location:Bogie A, Dwg p.508
 Check:Profibus  and f-optic cables
 and fibre-optic interface units
 SW I/O: I30.7, Dwg p.351, SW:FC900
 Alarm SA ref: 9.1, SW:FC902 "," Action: Profibus  fault - Crane off
 Device: Z6-X101
 Location:Bogie A, Dwg p.508
 Check:Profibus  and f-optic cables
 and fibre-optic interface units
 SW I/O: I30.7, Dwg p.351, SW:FC900
 Alarm SA ref: 9.1, SW:FC902 ",,,
"59","3"," Trolley fibre-optic "," Trolley fibre-optic ",,,
"59","3","interface unit fault ","interface unit fault ",,,
"59","3"," Action: Profibus  fault - Crane off
 Device:Z2-X01
 Location: Trolley PLC cubicle,Dwg p.511
 Check:Profibus  and f-optic cables
 and fibre-optic interface units
 SW I/O:I68.5, Dwg p.409, SW:FC900
 Alarm SA ref: 9.1, SW:FC902"," Action: Profibus  fault - Crane off
 Device:Z2-X01
 Location: Trolley PLC cubicle,Dwg p.511
 Check:Profibus  and f-optic cables
 and fibre-optic interface units
 SW I/O:I68.5, Dwg p.409, SW:FC900
 Alarm SA ref: 9.1, SW:FC902",,,
"60","3"," Cabin fibre-optic"," Cabin fibre-optic",,,
"60","3","interface unit fault ","interface unit fault ",,,
"60","3"," Action: Profibus  fault - Crane off
 Device:Z4-X01
 Location: Cabin PLC cubicle, Dwg p.513

SW I/O:I103.7, Dwg p.454,
 SW:FC900
 Alarm SA ref: 9.1, SW:FC902"," Action: Profibus  fault - Crane off
 Device:Z4-X01
 Location: Cabin PLC cubicle, Dwg p.513

SW I/O:I103.7, Dwg p.454,
 SW:FC900
 Alarm SA ref: 9.1, SW:FC902",,,
"61","3","S7 System Error - ","S7 System Error - ",,,
"61","3","Profibus  Slave Station 40 Fault","Profibus  Slave Station 40 Fault",,,
"61","3","Action: Crane stopped
Device: Z4-A1
Location: Cabin, Dwg p: 513


SW I/O: Z_RIO_STATUS.ADDRESS 40
Alarm SA ref: 9.1, SW:FC902 ","Action: Crane stopped
Device: Z4-A1
Location: Cabin, Dwg p: 513


SW I/O: Z_RIO_STATUS.ADDRESS 40
Alarm SA ref: 9.1, SW:FC902 ",,,
"62","3","S7 System Error - ","S7 System Error - ",,,
"62","3","Profibus  Slave Station 41 Fault","Profibus  Slave Station 41 Fault",,,
"62","3","Action: Crane stopped
Device: Z44-A1
Location: Cabin, Dwg p: 513


SW I/O: Z_RIO_STATUS.ADDRESS 41
Alarm SA ref: 9.1, SW:FC902 ","Action: Crane stopped
Device: Z44-A1
Location: Cabin, Dwg p: 513


SW I/O: Z_RIO_STATUS.ADDRESS 41
Alarm SA ref: 9.1, SW:FC902 ",,,
"63","3","S7 System Error - ","S7 System Error - ",,,
"63","3","Profibus  Slave Station 42 Fault","Profibus  Slave Station 42 Fault",,,
"63","3","Action: Crane stopped
Device: S-441 Trolley joystick
Location: Cabin, Dwg p: 513


SW I/O: Z_RIO_STATUS.ADDRESS 42
Alarm SA ref: 9.1, SW:FC902 ","Action: Crane stopped
Device: S-441 Trolley joystick
Location: Cabin, Dwg p: 513


SW I/O: Z_RIO_STATUS.ADDRESS 42
Alarm SA ref: 9.1, SW:FC902 ",,,
"64","3","S7 System Error - ","S7 System Error - ",,,
"64","3","Profibus  Slave Station 43 Fault","Profibus  Slave Station 43 Fault",,,
"64","3","Action: Crane stopped
Device: S-451 Hoist joystick
Location: Cabin, Dwg p: 513


SW I/O: Z_RIO_STATUS.ADDRESS 43
Alarm SA ref: 9.1, SW:FC902 ","Action: Crane stopped
Device: S-451 Hoist joystick
Location: Cabin, Dwg p: 513


SW I/O: Z_RIO_STATUS.ADDRESS 43
Alarm SA ref: 9.1, SW:FC902 ",,,
"65","3","S7 System Error - ","S7 System Error - ",,,
"65","3","Profibus  Slave Station 24 Fault","Profibus  Slave Station 24 Fault",,,
"65","3","Action: Crane stopped
Device: Spreader node","Action: Crane stopped
Device: Spreader node",,,
"66","3","nu","nu",,,
"66","3",,,,,
"66","3",,,,,
"67","3","nu","nu",,,
"67","3",,,,,
"67","3",,,,,
"68","3","nu","nu",,,
"68","3",,,,,
"68","3",,,,,
"69","3","nu","nu",,,
"69","3",,,,,
"69","3",,,,,
"70","4","Gantry motor breaker bypassed","Gantry motor breaker bypassed",,,
"70","4",,,,,
"70","4",,,,,
"71","4","Gantry motor overheat bypassed","Gantry motor overheat bypassed",,,
"71","4",,,,,
"71","4",,,,,
"72","4","Gantry brakes bypassed","Gantry brakes bypassed",,,
"72","4",,,,,
"72","4",,,,,
"73","4","Locking pin down limit bypassed","Locking pin down limit bypassed",,,
"73","4",,,,,
"73","4",,,,,
"74","3","nu","nu",,,
"74","3",,,,,
"74","3",,,,,
"75","3","nu","nu",,,
"75","3",,,,,
"75","3",,,,,
"76","3","nu","nu",,,
"76","3",,,,,
"76","3",,,,,
"77","3","nu","nu",,,
"77","3",,,,,
"77","3",,,,,
"78","3","nu","nu",,,
"78","3",,,,,
"78","3",,,,,
"79","3","nu","nu",,,
"79","3",,,,,
"79","3",,,,,
"80","3","nu","nu",,,
"80","3",,,,,
"80","3",,,,,
"81","3","nu","nu",,,
"81","3",,,,,
"81","3",,,,,
"82","3","nu","nu",,,
"82","3",,,,,
"82","3",,,,,
"83","3","nu","nu",,,
"83","3",,,,,
"83","3",,,,,
"84","3","nu","nu",,,
"84","3",,,,,
"84","3",,,,,
"85","3","nu","nu",,,
"85","3",,,,,
"85","3",,,,,
"86","3","nu","nu",,,
"86","3",,,,,
"86","3",,,,,
"87","3","nu","nu",,,
"87","3",,,,,
"87","3",,,,,
"88","3","nu","nu",,,
"88","3",,,,,
"88","3",,,,,
"89","3","nu","nu",,,
"89","3",,,,,
"89","3",,,,,
"90","3","nu","nu",,,
"90","3",,,,,
"90","3",,,,,
"91","3","nu","nu",,,
"91","3",,,,,
"91","3",,,,,
"92","3","nu","nu",,,
"92","3",,,,,
"92","3",,,,,
"93","3","nu","nu",,,
"93","3",,,,,
"93","3",,,,,
"94","3","nu","nu",,,
"94","3",,,,,
"94","3",,,,,
"95","3","nu","nu",,,
"95","3",,,,,
"95","3",,,,,
"96","3","nu","nu",,,
"96","3",,,,,
"96","3",,,,,
"97","3","nu","nu",,,
"97","3",,,,,
"97","3",,,,,
"98","3","nu","nu",,,
"98","3",,,,,
"98","3",,,,,
"99","3","nu","nu",,,
"99","3",,,,,
"99","3",,,,,
"1e+02","2","Cabin controllers are not at center ","Cabin controllers are not at center ",,,
"1e+02","2","position - Main joysticks","position - Main joysticks",,,
"1e+02","2"," Action:Main contactor ON disabled
 Device:Main joysticks 
 Location: Cabin, Dwg p:608
 Check:Joysticks and Drives OFF button  
are at center, inputs are ok, try again
 SW I/O: MOCXATCENTER M115.0     
 Alarm SA ref: 1.1.1, SW:FC111"," Action:Main contactor ON disabled
 Device:Main joysticks 
 Location: Cabin, Dwg p:608
 Check:Joysticks and Drives OFF button  
are at center, inputs are ok, try again
 SW I/O: MOCXATCENTER M115.0     
 Alarm SA ref: 1.1.1, SW:FC111",,,
"1e+02","2","Trolley Pendant controllers not ","Trolley Pendant controllers not ",,,
"1e+02","2","at center position ","at center position ",,,
"1e+02","2"," Action:Main contactor ON disabled
 Device:Trolley pendant controller
 Location:Trolley, Dwg p:610
 Check:Buttons and Drives OFF button are 
 center and inputs are ok, try again
 SW I/O: MOTXATCENTER M115.1
 Alarm SA ref: 1.1.1, SW:FC111"," Action:Main contactor ON disabled
 Device:Trolley pendant controller
 Location:Trolley, Dwg p:610
 Check:Buttons and Drives OFF button are 
 center and inputs are ok, try again
 SW I/O: MOTXATCENTER M115.1
 Alarm SA ref: 1.1.1, SW:FC111",,,
"1e+02","3","nu","nu",,,
"1e+02","3",,,,,
"1e+02","3",,,,,
"1e+02","3","No DRIVES ON since remote-IO error ","No DRIVES ON since remote-IO error ",,,
"1e+02","3",,,,,
"1e+02","3"," Action: Drives ON disabled
 Device: PLC remote station
 Location:
 Check:Try again after fault 
 is cleared or Call maintenance
 SW I/O: MZ_PLC_OK,
 Alarm SA ref: 1.2.1, SW:FC121 "," Action: Drives ON disabled
 Device: PLC remote station
 Location:
 Check:Try again after fault 
 is cleared or Call maintenance
 SW I/O: MZ_PLC_OK,
 Alarm SA ref: 1.2.1, SW:FC121 ",,,
